id,city_name,humidity,latitude,longtitude,sunset_time,surnise_time,temperature,time_of_record,wind_speed
1736265013,Kasserine,62,35.1677,8.8315,1736267279,1736231613,11.21,1736265013,8.34
1736265804,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736265804,4.42
1736268155,Beni Kheddache,59,33.1381,10.269,1736267230,1736230971,12.1,1736268155,5.62
1736267158,Kairouan,42,35.6712,10.0911,1736266900,1736231387,18.01,1736267158,3.09
1736268218,Sbiba,78,35.4037,9.0079,1736267201,1736231606,7.23,1736268218,10.13
1736265057,Carthage,67,36.8473,10.3417,1736266658,1736231508,16.02,1736265057,7.72
1736266823,El Kef,75,36.1632,8.7146,1736267155,1736231792,10.35,1736266823,6.32
1736265447,Kairouan,34,35.7976,10.126,1736266872,1736231397,19.24,1736265447,3.09
1736265101,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736265101,6.26
1736267225,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736267225,0.51
1736267808,Sbiba,78,35.4037,9.0079,1736267201,1736231606,7.23,1736267808,10.13
1736266270,Aryanah,67,36.8625,10.1956,1736266691,1736231546,15.97,1736266270,7.72
1736264375,Kairouan,34,35.7976,10.126,1736266872,1736231397,19.24,1736264375,3.09
1736267564,Fernana,84,36.7422,8.6626,1736267078,1736231895,7.04,1736267564,4.86
1736267753,Gouvernorat de Kébili,48,33.5031,8.7757,1736267536,1736231382,15.03,1736267753,4.28
1736266336,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736266336,4.58
1736266179,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736266179,6.04
1736268195,Gouvernorat de Kébili,48,33.5031,8.7757,1736267536,1736231382,15.03,1736268195,4.28
1736268098,Gouvernorat de Gabès,48,33.8815,9.5608,1736267293,1736231248,15.22,1736268098,4.29
1736266717,Ben Arous,77,36.7134,10.2096,1736266711,1736231519,14.9,1736266717,6.17
1736267598,Gouvernorat de Kébili,48,33.5031,8.7757,1736267536,1736231382,15.03,1736267598,4.28
1736264214,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736264214,6.26
1736268161,Jendouba,77,36.5123,8.7682,1736267088,1736231833,14.03,1736268161,2.57
1736267086,Mahdia,57,35.5068,11.0468,1736266696,1736231132,16.15,1736267086,1.56
