,id,city_name,humidity,latitude,longtitude,temperature,wind_speed,date,sunrise,sunset
146,1736266223,Sbikha,67,35.9444,9.799,11.18,10.23,2025-01-07 11:10:23,2025-01-07 01:31:38,2025-01-07 11:22:09
147,1736268190,Sbikha,72,35.9444,9.799,10.39,10.17,2025-01-07 11:43:10,2025-01-07 01:31:38,2025-01-07 11:22:09
148,1736265497,Gouvernorat de Gabès,45,33.8815,9.5608,16.4,4.42,2025-01-07 10:58:17,2025-01-07 01:27:28,2025-01-07 11:28:13
149,1736267292,Ben Arous,77,36.7134,10.2096,14.9,6.17,2025-01-07 11:28:12,2025-01-07 01:31:59,2025-01-07 11:18:31
150,1736266706,Mahdia,57,35.5068,11.0468,16.15,1.56,2025-01-07 11:18:26,2025-01-07 01:25:32,2025-01-07 11:18:16
151,1736267919,Sbiba,78,35.4037,9.0079,7.23,10.13,2025-01-07 11:38:39,2025-01-07 01:33:26,2025-01-07 11:26:41
152,1736266218,Bab El Jazira,67,36.8064,10.1817,15.99,7.72,2025-01-07 11:10:18,2025-01-07 01:32:20,2025-01-07 11:18:23
153,1736266560,Sousse,59,35.8214,10.6344,17.79,4.12,2025-01-07 11:16:00,2025-01-07 01:27:59,2025-01-07 11:19:07
154,1736265735,Jendouba,63,36.5123,8.7682,15.03,5.14,2025-01-07 11:02:15,2025-01-07 01:37:13,2025-01-07 11:24:48
155,1736265820,Jendouba,63,36.5123,8.7682,15.03,5.14,2025-01-07 11:03:40,2025-01-07 01:37:13,2025-01-07 11:24:48
156,1736265382,Sousse,59,35.8214,10.6344,17.79,4.63,2025-01-07 10:56:22,2025-01-07 01:27:59,2025-01-07 11:19:07
157,1736267024,El Kef,75,36.1632,8.7146,10.35,6.32,2025-01-07 11:23:44,2025-01-07 01:36:32,2025-01-07 11:25:55
158,1736265716,Kairouan,34,35.6712,10.0911,19.01,3.09,2025-01-07 11:01:56,2025-01-07 01:29:47,2025-01-07 11:21:40
159,1736267469,Bab El Jazira,77,36.8064,10.1817,14.99,6.17,2025-01-07 11:31:09,2025-01-07 01:32:20,2025-01-07 11:18:23
